Unnamed: 0,PRODUCTO,OT REFERENCIA,CODIGO,PESO,MATERIA PRIMA,PROCESO FINAL,PESO ARMADO ,FAMILIA,MAQUINA,ETAPA,STD,N° ETAPA
Perno Ojo 5/8x9x5HREBABA EXT,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,,0.587,PERNOS OJO GV C,PRENSA EX - 15,REBABA EXT,200.0,2.0
Perno Ojo 5/8x9x5HREBABA INT,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,,0.587,PERNOS OJO GV C,PRENSA EX - 15,REBABA INT,200.0,3.0
Perno Ojo 5/8x9x5HENDEREZAR,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,,0.587,PERNOS OJO GV C,PRENSA EX - 14,ENDEREZAR,200.0,4.0
Perno Ojo 5/8x9x5HPUNTEAR,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,,0.587,PERNOS OJO GV C,PUNT PER,PUNTEAR,75.0,5.0
Perno Ojo 5/8x9x5HTERRAJAR,Perno Ojo 5/8x9x5H,35001.0,9624000016-1,0.587,,T,0.587,PERNOS OJO GV C,TERR PER - 03,TERRAJAR,60.0,6.0
Perno Ojo 5/8x9x6H,Perno Ojo 5/8x9x6H,35682.0,9624000020-K,0.579,,,0.579,PERNOS OJO GV C,,,43.0,
Perno Ojo G-5 3/4x10x4H,Perno Ojo G-5 3/4x10x4H,34694.0,9653000040-8,1.495,,,1.495,PERNOS OJO GV C,,,,
Perno Ojo G-5 3/4x13,Perno Ojo G-5 3/4x13,34820.0,9653000050-5,1.495,,,1.495,PERNOS OJO GV C,,,,
Perno Ojo Soldado 1/2x300,Perno Ojo Soldado 1/2x300,38112.0,9623000205-0,0.48,,,0.48,PERNOS OJO GV C,,,,
Perno Ojo Soldado 1/2x406,Perno Ojo Soldado 1/2x406,35410.0,9623000053-8,0.62,,,0.62,PERNOS OJO GV C,,,,
Perno Ojo soldado 3/4x7x4H,Perno Ojo soldado 3/4x7x4H,34524.0,9623000355-3,0.905,,,0.905,PERNOS OJO GV C,,,,
Perno Ojo soldado 3/4x7x4H,Perno Ojo soldado 3/4x7x4H,34524.0,9623000355-3,0.905,,,0.905,PERNOS OJO GV C,,,,
Perno Ojo Soldado 3/4x9x4H,Perno Ojo Soldado 3/4x9x4H,34926.0,9623000380-4,1.177,,,1.177,PERNOS OJO GV C,,,,
Perno Ojo Soldado 3/4x10x5H,Perno Ojo Soldado 3/4x10x5H,38083.0,9623000395-2,1.197,,,1.197,PERNOS OJO GV C,,,,
Perno Ojo Soldado 3/4x11x3H,Perno Ojo Soldado 3/4x11x3H,36279.0,9623000400-2,1.329,,,1.329,PERNOS OJO GV C,,,,
Perno Ojo Soldado 3/4x13x4H,Perno Ojo Soldado 3/4x13x4H,34511.0,9623000406-1,1.395,,,1.395,PERNOS OJO GV C,,,,
Perno Ojo Soldado 3/4x17x4H,Perno Ojo Soldado 3/4x17x4H,37053.0,9623000490-8,1.655,,,1.655,PERNOS OJO GV C,,,,
Perno Ojo Soldado 5/8x9x5H  ,Perno Ojo Soldado 5/8x9x5H  ,36482.0,9623000122-4,0.856,,,0.856,PERNOS OJO GV C,,,,
Perno Ojo Soldado 5/8x11x8H,Perno Ojo Soldado 5/8x11x8H,36525.0,9623000135-6,0.96,,,0.96,PERNOS OJO GV C,,,,
Perno Ojo Soldado 5/8x14x6H  ,Perno Ojo Soldado 5/8x14x6H  ,36051.0,9623000148-8,1.055,,,1.055,PERNOS OJO GV C,,,,
Perno p/Cruzamiento 3/4x10,Perno p/Cruzamiento 3/4x10,35764.0,2831224160-0,0.683,,,0.683,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1x12,Perno p/Cruzamiento 1x12,34561.0,2831232192-2,1.35,,,1.35,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1x15,Perno p/Cruzamiento 1x15,34560.0,2831232240-6,1.6,,,1.6,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1x8.1/2,Perno p/Cruzamiento 1x8.1/2,34563.0,2831232136-1,1.011,,,1.011,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1x9,Perno p/Cruzamiento 1x9,34562.0,2831232144-2,1.108,,,1.108,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM190,Perno p/Cruzamiento 1.1/8xM190,35329.0,2831236124-K,1.28,,,1.6680000000000001,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM200,Perno p/Cruzamiento 1.1/8xM200,35497.0,2831236125-8,1.33,,,1.7180000000000002,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM210,Perno p/Cruzamiento 1.1/8xM210,,2831236126-6,1.45,,,1.834,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM215,Perno p/Cruzamiento 1.1/8xM215,,2831236130-4,1.4,,,1.784,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM230,Perno p/Cruzamiento 1.1/8xM230,,2831236133-9,1.48,,,1.864,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM240,Perno p/Cruzamiento 1.1/8xM240,,2831236134-7,1.53,,,1.9140000000000001,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM280,Perno p/Cruzamiento 1.1/8xM280,,2831236160-6,1.73,,,2.114,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM290,Perno p/Cruzamiento 1.1/8xM290,,2831236170-3,1.78,,,2.1639999999999997,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM305,Perno p/Cruzamiento 1.1/8xM305,,2831236175-4,1.85,,,2.234,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM320,Perno p/Cruzamiento 1.1/8xM320,,2831236180-0,1.93,,,2.3139999999999996,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM355,Perno p/Cruzamiento 1.1/8xM355,,2831236205-K,2.1,,,2.484,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM370,Perno p/Cruzamiento 1.1/8xM370,,2831236210-6,2.18,,,2.564,OTROS PRODUCTOS NG C,,,,
Perno p/Cruzamiento 1.1/8xM380,Perno p/Cruzamiento 1.1/8xM380,,2831236220-3,2.23,,,2.614,OTROS PRODUCTOS NG C,,,,
